Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by
DrosophilaCicGFP	A8K2U0	A2ML1	53928	53928	53928.00	1	64816	0.00	0.00	0.00	0.00	0.00	0.83	0.00	
DrosophilaCicGFP	P61221	ABCE1	17464	17464	17464.00	1	64000	0.00	0.00	0.00	0.00	0.00	0.27	0.00	
DrosophilaCicGFP	Q8NE71	ABCF1	58928	58928	58928.00	1	0	1.00	1.00	1.00	1.00	1.00	589280.00	0.00	
DrosophilaCicGFP	P09110	ACAA1	7700	7700	7700.00	1	0	1.00	1.00	1.00	1.00	1.00	77000.00	0.00	
DrosophilaCicGFP	Q13085	ACACA	48928	48928	48928.00	1	0	1.00	1.00	1.00	1.00	1.00	489280.00	0.00	
DrosophilaCicGFP	P11310	ACADM	33000	33000	33000.00	1	19464	0.00	0.00	0.00	0.00	0.00	1.70	0.00	
DrosophilaCicGFP	P24752	ACAT1	58928	58928	58928.00	1	47856	0.00	0.00	0.00	0.00	0.00	1.23	0.00	
DrosophilaCicGFP	P53396	ACLY	62320	62320	62320.00	1	22320	1.00	1.00	1.00	1.00	1.00	2.79	0.00	
DrosophilaCicGFP	P24666	ACP1	7464	7464	7464.00	1	60000	0.00	0.00	0.00	0.00	0.00	0.12	0.00	
DrosophilaCicGFP	P11117	ACP2	19104	19104	19104.00	1	0	1.00	1.00	1.00	1.00	1.00	191040.00	0.00	
DrosophilaCicGFP	P62736	ACTA2	51424	51424	51424.00	1	24640	0.00	0.00	0.00	0.00	0.00	2.09	0.00	
DrosophilaCicGFP	P60709	ACTB	24416	24416	24416.00	1	18432	0.00	0.00	0.00	0.00	0.00	1.32	0.00	
DrosophilaCicGFP	O43707	ACTN4	31000	31000	31000.00	1	47856	0.00	0.00	0.00	0.00	0.00	0.65	0.00	
DrosophilaCicGFP	P61163	ACTR1A	37856	37856	37856.00	1	34464	0.00	0.00	0.00	0.00	0.00	1.10	0.00	
DrosophilaCicGFP	Q8IUX7	AEBP1	64464	64464	64464.00	1	0	1.00	1.00	1.00	1.00	1.00	644640.00	0.00	
DrosophilaCicGFP	A0A3B3ISY9	AGK	11464	11464	11464.00	1	32000	0.00	0.00	0.00	0.00	0.00	0.36	0.00	
DrosophilaCicGFP	P35573	AGL	6464	6464	6464.00	1	0	1.00	1.00	1.00	1.00	1.00	64640.00	0.00	
DrosophilaCicGFP	O00116	AGPS	27000	27000	27000.00	1	0	1.00	1.00	1.00	1.00	1.00	270000.00	0.00	
DrosophilaCicGFP	Q9UPW5	AGTPBP1	5464	5464	5464.00	1	0	1.00	1.00	1.00	1.00	1.00	54640.00	0.00	
DrosophilaCicGFP	P23526	AHCY	2424	2424	2424.00	1	40528	0.00	0.00	0.00	0.00	0.00	0.06	0.00	
DrosophilaCicGFP	Q09666	AHNAK	6856	6856	6856.00	1	57136	0.00	0.00	0.00	0.00	0.00	0.12	0.00	
DrosophilaCicGFP	O95831	AIFM1	15712	15712	15712.00	1	45712	0.00	0.00	0.00	0.00	0.00	0.34	0.00	
DrosophilaCicGFP	Q12904	AIMP1	6784	6784	6784.00	1	43568	0.00	0.00	0.00	0.00	0.00	0.16	0.00	
DrosophilaCicGFP	Q13155	AIMP2	2320	2320	2320.00	1	15464	0.00	0.00	0.00	0.00	0.00	0.15	0.00	
